ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige, glace, autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique;Temps passé 1;Temps présent;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Altitude;Longitude;Latitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code)
07481;2015-06-12T17:00:00+02:00;101050;-230.0;6;140;3.6;297.35;286.25;50;30000.0;2;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;90.0;5;;30;28;12;98330.0;;;-100.0;;;;;;;;5.1;5.1;-10.0;0;0.0;0.0;;0.0;-0.1;0.4;0.6;0.6;;;;;4.0;3;2800.0;3.0;3;3500.0;6.0;0;8000.0;;;;45.7265,5.077833;LYON-ST EXUPERY;6;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;24.200000000000045;;;;;;235;5.077833;45.7265;Colombier-Saugnieu;69299;CC de l'Est Lyonnais (CCEL);246900575;Rhône;69;Auvergne-Rhône-Alpes;84
07481;2015-06-05T17:00:00+02:00;101590;-220.0;8;190;3.9;305.75;286.95;32;50000.0;3;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;0;10.0;1;2250.0;32;20;10;98930.0;;;-310.0;;;;;;;;7.1;9.9;-10.0;0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;;;;1.0;8;2100.0;;;;;;;;;;45.7265,5.077833;LYON-ST EXUPERY;8;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;3;32.60000000000002;;;;;;235;5.077833;45.7265;Colombier-Saugnieu;69299;CC de l'Est Lyonnais (CCEL);246900575;Rhône;69;Auvergne-Rhône-Alpes;84
07481;2015-06-15T11:00:00+02:00;101420;90.0;1;270;1.5;293.95;286.85;64;50000.0;3;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;75.0;5;800.0;32;23;;98660.0;;;410.0;;;;;;;;3.5;4.5;-10.0;1;0.0;0.0;;0.0;0.0;4.0;4.0;4.6;;;;;5.0;8;800.0;6.0;3;3000.0;;;;;;;45.7265,5.077833;LYON-ST EXUPERY;1;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;3;20.80000000000001;;;;;;235;5.077833;45.7265;Colombier-Saugnieu;69299;CC de l'Est Lyonnais (CCEL);246900575;Rhône;69;Auvergne-Rhône-Alpes;84
07481;2015-06-15T14:00:00+02:00;101430;20.0;1;10;2.5;295.95;286.45;55;50000.0;1;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;75.0;4;1250.0;32;23;10;98680.0;;;450.0;;;;;;;;5.1;5.1;-10.0;0;0.0;0.0;;0.0;0.0;0.0;4.0;4.2;;;;;1.0;8;1100.0;4.0;8;1200.0;6.0;3;3300.0;;;;45.7265,5.077833;LYON-ST EXUPERY;1;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;1;22.80000000000001;;;;;;235;5.077833;45.7265;Colombier-Saugnieu;69299;CC de l'Est Lyonnais (CCEL);246900575;Rhône;69;Auvergne-Rhône-Alpes;84
07481;2015-06-20T05:00:00+02:00;102030;0.0;4;50;0.7;285.95;282.95;82;40000.0;2;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;0;0.0;0;;30;20;10;99170.0;;;240.0;;;;;;;;1.3;2.4;-10.0;0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;45.7265,5.077833;LYON-ST EXUPERY;4;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;2;12.800000000000011;;;;;;235;5.077833;45.7265;Colombier-Saugnieu;69299;CC de l'Est Lyonnais (CCEL);246900575;Rhône;69;Auvergne-Rhône-Alpes;84
07481;2015-06-22T05:00:00+02:00;101680;-120.0;6;180;0.7;289.65;286.15;80;40000.0;1;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;0;0.0;0;;30;20;10;98870.0;;;-370.0;;;;;;;;1.4;4.7;-10.0;0;0.0;0.0;;0.0;-0.1;-0.1;-0.1;-0.1;;;;;;;;;;;;;;;;;45.7265,5.077833;LYON-ST EXUPERY;6;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;1;16.5;;;;;;235;5.077833;45.7265;Colombier-Saugnieu;69299;CC de l'Est Lyonnais (CCEL);246900575;Rhône;69;Auvergne-Rhône-Alpes;84
07481;2015-06-23T02:00:00+02:00;101270;150.0;2;20;4.5;292.45;282.95;54;48450.0;0;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;100.0;8;1750.0;;;;98490.0;;;-500.0;;;;;;;;6.4;10.2;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;-0.1;;;;;6.0;;1980.0;8.0;;4260.0;;;;;;;45.7265,5.077833;LYON-ST EXUPERY;2;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;0;19.30000000000001;;;;;;235;5.077833;45.7265;Colombier-Saugnieu;69299;CC de l'Est Lyonnais (CCEL);246900575;Rhône;69;Auvergne-Rhône-Alpes;84
07481;2015-06-25T14:00:00+02:00;102180;-40.0;8;10;2.3;298.65;283.25;38;40000.0;1;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;60.0;0;8000.0;30;20;11;99430.0;;;250.0;;;;;;;;5.4;7.5;-10.0;0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;;;;5.0;0;8000.0;;;;;;;;;;45.7265,5.077833;LYON-ST EXUPERY;8;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;1;25.5;;;;;;235;5.077833;45.7265;Colombier-Saugnieu;69299;CC de l'Est Lyonnais (CCEL);246900575;Rhône;69;Auvergne-Rhône-Alpes;84
07481;2015-07-05T20:00:00+02:00;101410;50.0;3;190;8.3;306.55;288.05;33;25000.0;3;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;0;40.0;1;3000.0;32;28;11;98760.0;;;-270.0;299.05;;308.75;;;;;12.7;13.4;-10.0;0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;;;;1.0;8;3000.0;2.0;3;4500.0;1.0;0;7500.0;;;;45.7265,5.077833;LYON-ST EXUPERY;3;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;3;33.400000000000034;25.900000000000034;;35.60000000000002;;;235;5.077833;45.7265;Colombier-Saugnieu;69299;CC de l'Est Lyonnais (CCEL);246900575;Rhône;69;Auvergne-Rhône-Alpes;84
07481;2015-05-14T17:00:00+02:00;101070;-150.0;6;20;6.2;292.95;284.95;60;50000.0;3;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;90.0;7;4400.0;30;28;;98300.0;;;-260.0;;;;;;;;8.5;11.1;-10.0;0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;;;;7.0;3;4400.0;;;;;;;;;;45.7265,5.077833;LYON-ST EXUPERY;6;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;3;19.80000000000001;;;;;;235;5.077833;45.7265;Colombier-Saugnieu;69299;CC de l'Est Lyonnais (CCEL);246900575;Rhône;69;Auvergne-Rhône-Alpes;84
